Razón Social ó Nombre,RNT,Municipio / Dpto,Estado
HOTEL ORQUIDEA REAL VILLAVICENCIO,26127,VILLAVICENCIO - Meta,Suspendido
HOTEL SAN ANGEL VILLAVICENCIO,43202,VILLAVICENCIO - Meta,Pendiente Actualización
HOTEL UNION VILLAVICENCIO,11284,VILLAVICENCIO - Meta,Activo
HOTEL VILLAVICENCIO PLAZA,1008,VILLAVICENCIO - Meta,Activo
INVERSA LALIANXA VILLAVICENCIO,41028,VILLAVICENCIO - Meta,Activo
JR BUNGEE VILLAVICENCIO,49158,VILLAVICENCIO - Meta,Pendiente Actualización
L & C GOURMET VIVA VILLAVICENCIO,45764,VILLAVICENCIO - Meta,Activo
LOCALIZA VILLAVICENCIO,37938,VILLAVICENCIO - Meta,Pendiente Actualización
ORVITUR-VILLAVICENCIO,20834,VILLAVICENCIO - Meta,Suspendido
PARAPENTE VILLAVICENCIO AL EXTREMO,46926,VILLAVICENCIO - Meta,Suspendido
PJ VIVA VILLAVICENCIO,45797,VILLAVICENCIO - Meta,Activo
POSADA MANDUKA PROMOTORA  DE INVERSIONES Y SERVICIOS TURISTICOS VILLAVICENCIO,56332,VILLAVICENCIO - Meta,Activo
REPRESENTACIONES AEREAS AR CENTRO COMERCIAL VIVA VILLAVICENCIO,45646,VILLAVICENCIO - Meta,Activo
SERVINCLUIDOS LTDA. VILLAVICENCIO,21749,VILLAVICENCIO - Meta,Activo
SUMMER C. VILLAVICENCIO,42043,VILLAVICENCIO - Meta,Pendiente Actualización
TOUR & GO VILLAVICENCIO,22572,VILLAVICENCIO - Meta,Suspendido
TRANSPORTES CIRCULAR VILLAVICENCIO,39279,VILLAVICENCIO - Meta,Pendiente Actualización
TVHA VILLAVICENCIO,45467,VILLAVICENCIO - Meta,Pendiente Actualización
VIAJES ALKOSTO VILLAVICENCIO,14020,VILLAVICENCIO - Meta,Activo
HOTEL LA GRAN NOCHE,37210,VISTA HERMOSA - Meta,Pendiente Actualización
COOPERATIVA DE TRANSPORTADORES DE VISTA HERMOSA - SERVICIO ESPECIAL DE TURISMO,45464,VISTA HERMOSA - Meta,Suspendido
COOPERATIVA DE TRANSPORTADORES DE VISTA HERMOSA - SERVICIO ESPECIAL DE TURISMO,44445,VISTA HERMOSA - Meta,Suspendido
HOTEL PALMERAS VISTA HERMOSA,36800,VISTA HERMOSA - Meta,Activo
HOTEL VISTA HERMOSA M.O.,36876,VISTA HERMOSA - Meta,Activo
